Symbol,sys_name,SGD,WT_SSL,WT_HL,CBC_SSL,CBC1_HL,RRP6_SSL,RRP6-HL
NA,YGR050C ,YGR050C ,417.7,24.58,545.6,40.13,506.5,46.28
NA,YGR051C ,YGR051C ,18,N.A.,3.4,N.A.,9.2,N.A.
NA,YGR052W ,YGR052W ,61.3,N.A.,38.3,N.A.,61.3,N.A.
NA,YGR053C ,YGR053C ,101.3,5743.64,93.3,N.A.,87,N.A.
NA,YGR054W ,YGR054W ,929.1,32.25,882.5,25.19,565.8,19.33
MUP1,YGR055W ,YGR055W ,3109.9,N.A.,1917.4,N.A.,2204.9,N.A.
RSC1,YGR056W ,YGR056W ,407.4,23.86,307.4,33.32,355.1,45.34
LST7,YGR057C ,YGR057C ,220.5,12.26,252.5,23.84,237.7,26.56
NA,YGR058W ,YGR058W ,159.9,11.95,184.5,106.48,137.6,22.92
SPR3,YGR059W ,YGR059W ,19.1,16.39,15.7,N.A.,64.8,39.7
ERG25,YGR060W ,YGR060W ,9227.9,16.45,9998.2,39.22,6514.4,23.85
ADE6,YGR061C ,YGR061C ,6009.8,14.68,3860,80.7,2949.9,33.2
COX18,YGR062C ,YGR062C ,1210.9,28.24,1384.5,40.42,612.7,127.35
SPT4,YGR063C ,YGR063C ,1655.3,8.03,1934.6,11.88,1315.4,13.05
NA,YGR064W ,YGR064W ,203.6,13.75,168.6,15.1,185,81.22
VHT1,YGR065C ,YGR065C ,1557.3,851.07,1020.8,32.28,886.9,N.A.
NA,YGR066C ,YGR066C ,52.3,N.A.,94,16.96,47,107.4
NA,YGR067C ,YGR067C ,93,51.01,131.1,16.37,89,38.7
NA,YGR068C ,YGR068C ,267,5.78,330.2,13.65,270,11.78
NA,YGR069W ,YGR069W ,35.5,20.77,13.8,70.66,48.5,299.67
ROM1,YGR070W ,YGR070W ,232.5,N.A.,230.1,158.59,151.2,N.A.
NA,YGR071C ,YGR071C ,140.9,11.34,143.2,18.31,216.3,12.7
UPF3,YGR072W ,YGR072W ,124.4,13.83,115.4,119.33,109.5,18
NA,YGR073C ,YGR073C ,288.3,15.06,171.2,N.A.,259.4,31.43
SMD1,YGR074W ,YGR074W ,342.7,13.56,386,27.32,423.3,17.15
PRP38,YGR075C ,YGR075C ,120.5,21.45,151.5,26.8,83.4,N.A.
MRPL25,YGR076C ,YGR076C ,1302.6,47,1518.3,49.44,817.8,N.A.
PEX8,YGR077C ,YGR077C ,679.9,29.63,813.7,40.19,714.4,26.37
PAC10,YGR078C ,YGR078C ,1471.2,13.12,1491.8,38.85,976.1,20.41
NA,YGR079W ,YGR079W ,448.2,6.27,741.5,12.31,633.4,7.37
TWF1,YGR080W ,YGR080W ,757.6,N.A.,1281.2,524.65,917.3,N.A.
NA,YGR081C ,YGR081C ,86,11.43,99.2,21.82,60.8,12.59
TOM20,YGR082W ,YGR082W ,5189.4,41.13,4211.8,37.25,3019.9,38.61
GCD2,YGR083C ,YGR083C ,245.9,23,234.7,48.12,326.7,14.97
MRP13,YGR084C ,YGR084C ,291.7,64.8,330,N.A.,205,42.38
RPL11B,YGR085C ,YGR085C ,30937.2,34.75,29045.4,28.25,20455.9,23.33
NA,YGR086C ,YGR086C ,1865.7,N.A.,2642.1,N.A.,1862.3,N.A.
PDC6,YGR087C ,YGR087C ,9,N.A.,8.6,47.11,40.8,N.A.
CTT1,YGR088W ,YGR088W ,61.5,N.A.,149.4,N.A.,73.1,N.A.
